Reference, Value, Footprint, Datasheet
"M1","OSHW-LOGOS","Symbols:OSHW-Logo2_7.3x6mm_SilkScreen","","",""
"J1","RPi_GPIO","dronpi:raspberrypi2","","",""
"IC7","BQ24315","dronpi:BQ24313_DSG_8","","",""
"R32","24K","Resistors_SMD:R_0805","","",""
"R31","10K","Resistors_SMD:R_0805","","",""
"R33","1M","Resistors_SMD:R_0805","","",""
"C18","100uF","Capacitors_SMD:C_1210","","",""
"W2","REG_FAULT","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","",""
"W1","REG_CE","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","",""
"IC4","PCA9306","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","",""
"R7","200K","Resistors_SMD:R_0805","","",""
"R6","1K5","Resistors_SMD:R_0805","","",""
"R5","1K5","Resistors_SMD:R_0805","","",""
"R8","1K5","Resistors_SMD:R_0805","","",""
"R9","1K5","Resistors_SMD:R_0805","","",""
"C16","100nF","Capacitors_SMD:C_0805","","",""
"D4","PESD0402-140","Capacitors_SMD:C_0402","","",""
"L6","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"I2C1","JST_4PIN","Connectors_JST:JST_EH_B04B-EH-A_04x2.50mm_Straight","","",""
"D1","SMBJ5V","Tinkerforge:DO-214AA","","",""
"C4","220uF","Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Reflow","","",""
"C5","100nF","Capacitors_SMD:C_0805","","",""
"IC1","MIC5332","awallin:MLF-8-1EP","","",""
"C3","2u2F","Capacitors_SMD:C_0805","","",""
"C6","22uF","Capacitors_SMD:C_0805","","",""
"C7","100nF","Capacitors_SMD:C_0805","","",""
"C8","1uF","Capacitors_SMD:C_0805","","",""
"C9","22uF","Capacitors_SMD:C_0805","","",""
"C10","100nF","Capacitors_SMD:C_0805","","",""
"C2","10uF","Capacitors_SMD:C_0805","","",""
"C1","100nF","Capacitors_SMD:C_0805","","",""
"F1","0ZCA0035FF2G","Fuse_Holders_and_Fuses:Fuse_SMD1206_Wave","","",""
"L1","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"L2","KNH16C104DA5TS","dronpi:KYOCERA-KNH16-DA","","",""
"D2","PESD0402-140","Capacitors_SMD:C_0402","","",""
"D5","PESD0402-140","Capacitors_SMD:C_0402","","",""
"Q1","MMBT3906LT1","TO_SOT_Packages_SMD:SOT-23","","",""
"R11","1k8","Resistors_SMD:R_0805","","",""
"R10","10R","Resistors_SMD:R_0805","","",""
"POWER1","JST_6PIN","Connectors_JST:JST_EH_B06B-EH-A_06x2.50mm_Straight","","",""
"C17","22uF","Capacitors_SMD:C_0805","","",""
"Q2","DMG2305","Tinkerforge:SOT23-3","","",""
